human_time,epoch_time,web_cpu,mongo-db_cpu,nginx_cpu,mosquitto_cpu,web_ram,mongo-db_ram,nginx_ram,mosquitto_ram,host_cpu,host_ram
24:27.0,1682285066,160.44,2.29,0.67,0.13,0.61,0.55,0.0031,0.0013,97.3,1.5
25:44.5,1682285144,119.38,1.5,0.69,0.09,0.56,0.55,0.0031,0.0013,91.6,1.4
27:02.0,1682285222,57.73,2.16,0.53,0.08,0.6,0.55,0.0032,0.0013,94.4,1.5
28:19.5,1682285299,54.62,4.22,0.14,0.12,0.54,0.55,0.0031,0.0013,89.3,1.4
29:37.0,1682285377,60.61,2.78,0.71,0.12,0.61,0.55,0.0031,0.0013,91.8,1.5
30:54.6,1682285454,124.91,2.31,0.79,0.09,0.61,0.55,0.0031,0.0013,88.6,1.5
32:12.1,1682285532,111.59,3.1,0.35,0.25,0.56,0.55,0.0031,0.0013,97.2,1.4
33:29.6,1682285609,61.88,3.15,0.62,0.16,0.6,0.55,0.0031,0.0013,94.5,1.5
34:47.1,1682285687,51.74,3.03,0.56,0.13,0.54,0.55,0.0031,0.0013,91.9,1.4
36:04.6,1682285764,55.79,2.9,0.71,0.34,0.61,0.55,0.0031,0.0013,93.1,1.5
37:22.3,1682285842,158.64,3.22,0.05,0.1,0.6,0.549,0.0032,0.0013,93.1,1.5
38:39.8,1682285919,113.76,3.3,0.71,0.12,0.56,0.55,0.0031,0.0013,92.7,1.4
39:57.4,1682285997,140.16,1.89,0.63,0.17,0.6,0.55,0.0031,0.0013,97.2,1.5
41:14.9,1682286074,122.67,2.26,0.56,0.09,0.54,0.55,0.0031,0.0013,94.4,1.4
42:32.4,1682286152,247.17,2.64,0.08,0.1,0.59,0.55,0.0031,0.0013,92,1.5
43:50.1,1682286230,179.6,4.47,0.04,0.13,0.61,0.549,0.0031,0.0013,93.1,1.5
45:07.7,1682286307,44.6,1.87,0.68,0.13,0.55,0.55,0.0032,0.0013,96,1.4
46:25.2,1682286385,119.46,2.78,0.65,0.17,0.6,0.55,0.0032,0.0013,95.7,1.5
47:42.7,1682286462,52.35,3.14,0.6,0.3,0.6,0.549,0.0031,0.0013,95.9,1.4
49:00.4,1682286540,231.17,2.61,0.83,0.09,0.56,0.55,0.0031,0.0013,91.8,1.5
50:18.1,1682286618,142.35,2,0.69,0.14,0.61,0.55,0.0032,0.0013,91.8,1.5
51:35.7,1682286695,64.61,2.01,0.17,0.12,0.55,0.55,0.0032,0.0013,95.9,1.4
52:53.2,1682286773,59.87,2.08,0.58,0.09,0.61,0.55,0.0031,0.0013,94.5,1.5
54:10.7,1682286850,34.32,2.17,0.68,0.08,0.61,0.55,0.0031,0.0013,93.1,1.4
